TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
88,Speed,80,5,0.393889211,32.36902703,93.56,2.857142857,4,1.326228571,1.7188,1.90345,3.1629,6
89,Speed,80,5,0.393889211,42.8395082,103.15,2.857142857,6,1.441157143,2.4054,1.9942,2.5412,6
90,Speed,80,5,0.393889211,36.18915808,84.44,2.857142857,5,1.172771429,1.6659,2.542566667,4.598,6
91,Speed,80,5,0.393889211,35.97944043,97.68,3.333333333,5,1.430833333,2.5762,2.54182,4.1174,5
92,Speed,80,5,0.393889211,39.58018282,126.09,4,7,1.83046,3.0801,2.715075,4.6717,4
93,Speed,80,5,0.393889211,40.33106713,111.62,2.857142857,5,1.364685714,2.4715,1.921433333,2.3342,6
94,Speed,80,5,0.393889211,46.0213468,138.52,2.857142857,5,1.5409,2.2213,1.51325,2.1886,6
95,Speed,80,5,0.393889211,34.20382734,88.51,2.222222222,4,1.146911111,2.1216,2.1230125,4.4624,8
96,Speed,80,5,0.393889211,39.99187959,151.96,2.857142857,6,1.723471429,2.8003,1.866366667,2.5271,6
107,Speed,120,3,0.469810526,45.27919822,91.6,20,20,10.7,10.7,0,0,0
108,Speed,120,3,0.469810526,43.61553299,104.09,20,20,9.3422,9.3422,0,0,0
109,Speed,120,3,0.469810526,32.19136816,68.67,20,20,9.6043,9.6043,0,0,0
110,Speed,120,3,0.469810526,38.76118598,90.24,20,20,8.7477,8.7477,0,0,0
111,Speed,120,3,0.469810526,31.05748815,85.92,20,20,10.2107,10.2107,0,0,0
112,Speed,120,3,0.469810526,79.62572222,121.56,20,20,12.9494,12.9494,0,0,0
113,Speed,120,3,0.469810526,46.97281013,86.6,20,20,9.3679,9.3679,0,0,0
114,Speed,120,3,0.469810526,31.03311653,54.43,20,20,8.9696,8.9696,0,0,0
