,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1136,80,5,0.27560500000000004,20.53984472,65.1,2.857142857,5,0.740242857,1.0227,0.966716667,1.3783,6,-1.5690091008147018,Accuracy,123,Accuracy,False
1129,80,5,0.27560500000000004,29.83028436,85.29,2.857142857,3,0.9873142859999999,1.1948,1.298483333,2.5446,6,-1.4913323188420415,Accuracy,116,Accuracy,False
1277,80,5,0.223630789,29.04983923,58.03,6.666666667,8,1.988266667,2.1091,1.6148,1.7182,2,-1.0999659566828814,Accuracy,94,Accuracy,False
1623,80,5,0.211221579,35.21097902,93.82,10.0,12,3.0272,3.0662,1.4454,1.4454,1,1.0640948302196738,Accuracy,20,Speed,False
1131,80,5,0.27560500000000004,23.34757835,70.71,2.857142857,5,0.797157143,1.2195,1.115216667,1.6514,6,-1.7112290750234482,Accuracy,118,Accuracy,False
1072,80,5,0.254892354,26.75873377,83.2,3.333333333,4,0.87645,1.6577,1.06322,1.3781,5,-1.3246484798908065,Accuracy,29,Accuracy,False
1266,80,5,0.223630789,45.00018127,121.15,6.666666667,9,2.124366667,2.4124,1.6857,1.9248,2,0.5765309276643205,Accuracy,83,Speed,False
1587,80,5,0.451450497,40.3144152,95.85,2.222222222,4,1.157855556,1.8166,1.9944125,4.9405,8,-1.0374630520557226,Accuracy,84,Accuracy,False
1125,80,5,0.27560500000000004,25.39516234,62.58,5.0,6,1.404525,1.6513,1.3092333329999999,1.4454,3,-1.391668010929303,Accuracy,112,Accuracy,False
1498,80,5,0.403017105,41.62182432,107.91,3.333333333,5,1.8499166669999998,2.8728,1.6391799999999999,2.1338,5,0.37398452484149747,Accuracy,65,Speed,False
1735,80,5,0.258833158,23.29061828,55.79,4.0,7,1.39416,2.4184,1.0177,1.3777,4,-0.4315490213600821,Accuracy,62,Accuracy,False
1074,80,5,0.254892354,20.50471186,59.52,3.333333333,4,0.799933333,1.2482,1.00768,1.1723,5,-1.2685896240074577,Accuracy,31,Accuracy,False
1307,80,5,0.40496973700000005,28.90806373,103.8,2.5,4,0.7427375,1.266,1.347714286,1.7888,7,0.2958334300064287,Accuracy,24,Speed,False
1715,120,5,0.258833158,46.56483516,113.76,10.0,12,2.7144,3.3272,2.4896,2.4896,1,-0.6450913436396188,Accuracy,32,Accuracy,False
1524,120,5,0.451450497,31.00658635,74.91,1.176470588,4,0.545505882,1.5951,1.49828125,3.0695,16,-6.932081633676242,Accuracy,111,Accuracy,False
1208,120,5,0.223630789,43.326171,96.85,10.0,12,2.67015,2.9478,2.2675,2.2675,1,-0.4169076398932763,Accuracy,115,Accuracy,False
1323,120,5,0.40496973700000005,50.83350427,115.33,2.857142857,9,0.8776714290000001,2.6384,0.895,1.5375,6,-1.000159365510342,Accuracy,50,Accuracy,False
1706,120,5,0.258833158,51.98028261,110.31,4.0,11,1.7327,3.2101,1.503025,2.0514,4,0.14676277704950547,Accuracy,23,Speed,False
1432,120,5,0.442727895,36.1888,116.85,3.333333333,5,1.84305,2.471,1.8742599999999998,2.4835,5,-1.0000994494092474,Accuracy,89,Accuracy,False
985,120,5,0.387901155,76.05794072,158.11,4.0,9,2.059,3.6121,3.690325,8.3955,4,-0.9999565463973419,Accuracy,22,Accuracy,False
1718,120,5,0.258833158,34.45642105,65.29,10.0,12,3.1144,3.5618,0.9563,0.9563,1,0.34269653786760834,Accuracy,35,Speed,False
1654,120,5,0.211221579,56.9753,101.16,6.666666667,8,1.254233333,1.5835,0.8836,0.9572,2,-1.2856450175531093,Accuracy,61,Accuracy,False
1339,120,5,0.40496973700000005,41.38305177,136.01,2.857142857,6,0.9737,2.4073,0.7605833329999999,1.4669,6,-1.682514298816104,Accuracy,66,Accuracy,False
